Census Tract,"CalEnviroScreen
4.0 Score","CalEnviroScreen
4.0 Percentile","CalEnviroScreen 4.0 
Percentile Range","Pollution Burden
Percentile","Population Characteristics
Percentile",Total Population,California County,Approximate Zip Code,Approximate Location,DAC category
6037570603,48.72,86.41,85-90%,82.83,79.66,5172,Los Angeles,90805,Long Beach,CalEnviroScreen 4.0 Top 25%
6037552301,48.71,86.40,85-90%,95.88,64.12,4482,Los Angeles,90650,Norwalk,CalEnviroScreen 4.0 Top 25%
6065045706,48.71,86.38,85-90%,66.56,91.79,4821,Riverside ,92236,Coachella,CalEnviroScreen 4.0 Top 25%
6065042515,48.70,86.37,85-90%,62.18,94.42,3795,Riverside ,92553,Moreno Valley,CalEnviroScreen 4.0 Top 25%
6071006301,48.69,86.36,85-90%,66.70,91.62,5721,San Bernardino,92404,San Bernardino,CalEnviroScreen 4.0 Top 25%
6037119342,48.67,86.35,85-90%,62.65,94.00,2911,Los Angeles,91402,Los Angeles,CalEnviroScreen 4.0 Top 25%
6065041500,48.66,86.33,85-90%,93.79,67.79,3263,Riverside ,92880,Corona,CalEnviroScreen 4.0 Top 25%
6019007600,48.64,86.32,85-90%,82.50,79.77,4273,Fresno ,93706,Unincorporated Fresno County area,CalEnviroScreen 4.0 Top 25%
6071003000,48.64,86.31,85-90%,72.33,87.42,3254,San Bernardino,92335,Fontana,CalEnviroScreen 4.0 Top 25%
6037900804,48.63,86.30,85-90%,58.51,95.98,3359,Los Angeles,93534,Lancaster,CalEnviroScreen 4.0 Top 25%
6013310000,48.63,86.28,85-90%,74.52,85.87,6257,Contra Costa,94565,Pittsburg,CalEnviroScreen 4.0 Top 25%
6029004500,48.62,86.27,85-90%,91.04,71.28,2635,Kern ,93249,Unincorporated Kern County area,CalEnviroScreen 4.0 Top 25%
6071004101,48.62,86.26,85-90%,63.42,93.43,6404,San Bernardino,92407,Muscoy,CalEnviroScreen 4.0 Top 25%
6071006203,48.62,86.25,85-90%,52.81,98.55,4995,San Bernardino,92404,Unincorporated San Bernardino County area,CalEnviroScreen 4.0 Top 25%
6071002803,48.61,86.23,85-90%,67.95,90.60,4226,San Bernardino,92335,Fontana,CalEnviroScreen 4.0 Top 25%
6073004800,48.60,86.22,85-90%,66.65,91.50,4171,San Diego,92102,San Diego,CalEnviroScreen 4.0 Top 25%
6037191301,48.57,86.21,85-90%,70.64,88.67,2224,Los Angeles,90029,Los Angeles,CalEnviroScreen 4.0 Top 25%
6065040303,48.55,86.20,85-90%,82.02,79.97,4321,Riverside ,92509,Jurupa Valley,CalEnviroScreen 4.0 Top 25%
6095250801,48.52,86.18,85-90%,83.37,78.85,4135,Solano ,94592,Unincorporated Solano County area,CalEnviroScreen 4.0 Top 25%
6037575202,48.51,86.17,85-90%,46.14,99.70,4175,Los Angeles,90813,Long Beach,CalEnviroScreen 4.0 Top 25%
6059074003,48.50,86.16,85-90%,98.69,56.44,4230,Orange ,92707,Santa Ana,CalEnviroScreen 4.0 Top 25%
6065040102,48.49,86.14,85-90%,93.95,66.92,4810,Riverside ,92509,Jurupa Valley,CalEnviroScreen 4.0 Top 25%
6019004205,48.46,86.13,85-90%,84.38,77.81,6153,Fresno ,93722,Fresno,CalEnviroScreen 4.0 Top 25%
6037134903,48.46,86.12,85-90%,86.32,76.03,6919,Los Angeles,91303,Los Angeles,CalEnviroScreen 4.0 Top 25%
6001407200,48.46,86.11,85-90%,64.79,92.40,6985,Alameda ,94601,Oakland,CalEnviroScreen 4.0 Top 25%
6073016202,48.46,86.09,85-90%,92.53,69.28,3868,San Diego,92020,El Cajon,CalEnviroScreen 4.0 Top 25%
6037404803,48.45,86.08,85-90%,95.73,63.99,1719,Los Angeles,91706,Baldwin Park,CalEnviroScreen 4.0 Top 25%
6077004501,48.45,86.07,85-90%,84.65,77.53,2377,San Joaquin,95240,Lodi,CalEnviroScreen 4.0 Top 25%
6037600602,48.44,86.06,85-90%,56.76,96.57,2542,Los Angeles,90303,Inglewood,CalEnviroScreen 4.0 Top 25%
6037197500,48.40,86.04,85-90%,96.49,62.36,3914,Los Angeles,90026,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037134305,48.38,86.03,85-90%,68.69,89.55,4183,Los Angeles,91304,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037190201,48.37,86.02,85-90%,77.91,82.97,2632,Los Angeles,90028,Los Angeles,CalEnviroScreen 4.0 Top 25%
6031000500,48.37,86.01,85-90%,62.75,93.46,5358,Kings ,93230,Armona,CalEnviroScreen 4.0 Top 25%
6037603500,48.35,85.99,85-90%,86.65,75.40,3042,Los Angeles,90249,Gardena,CalEnviroScreen 4.0 Top 25%
6071007303,48.35,85.98,85-90%,95.35,64.49,5039,San Bernardino,92354,Loma Linda,CalEnviroScreen 4.0 Top 25%
6031001300,48.34,85.97,85-90%,67.62,90.25,4811,Kings ,93212,Unincorporated Kings County area,CalEnviroScreen 4.0 Top 25%
6029004701,48.33,85.96,85-90%,69.04,89.31,11517,Kern ,93250,Unincorporated Kern County area,CalEnviroScreen 4.0 Top 25%
6037212203,48.33,85.94,85-90%,74.92,85.04,2914,Los Angeles,90005,Los Angeles,CalEnviroScreen 4.0 Top 25%
6047000801,48.32,85.93,85-90%,75.05,84.93,5539,Merced ,95301,Atwater,CalEnviroScreen 4.0 Top 25%
6037603301,48.31,85.92,85-90%,71.57,87.43,3617,Los Angeles,90247,Gardena,CalEnviroScreen 4.0 Top 25%
6037208301,48.30,85.91,85-90%,93.73,66.96,2148,Los Angeles,90026,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037575902,48.30,85.89,85-90%,78.98,81.97,5208,Los Angeles,90802,Long Beach,CalEnviroScreen 4.0 Top 25%
6025011500,48.30,85.88,85-90%,63.53,92.79,6227,Imperial ,92243,El Centro,CalEnviroScreen 4.0 Top 25%
6037197420,48.28,85.87,85-90%,93.48,67.49,3564,Los Angeles,90026,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037900806,48.28,85.85,85-90%,54.87,97.30,4634,Los Angeles,93534,Lancaster,CalEnviroScreen 4.0 Top 25%
6071001305,48.28,85.84,85-90%,84.63,77.23,5788,San Bernardino,91764,Ontario,CalEnviroScreen 4.0 Top 25%
6019004704,48.27,85.83,85-90%,53.98,97.69,5345,Fresno ,93705,Fresno,CalEnviroScreen 4.0 Top 25%
6059087300,48.25,85.82,85-90%,91.61,70.12,10714,Orange ,92805,Anaheim,CalEnviroScreen 4.0 Top 25%
6037576301,48.23,85.80,85-90%,70.90,87.76,4165,Los Angeles,90813,Long Beach,CalEnviroScreen 4.0 Top 25%
6037402903,48.23,85.79,85-90%,67.57,90.08,4363,Los Angeles,91766,Pomona,CalEnviroScreen 4.0 Top 25%
6037500700,48.22,85.78,85-90%,90.55,70.83,7150,Los Angeles,90660,Pico Rivera,CalEnviroScreen 4.0 Top 25%
6037543802,48.21,85.77,85-90%,91.08,70.51,6478,Los Angeles,90745,Carson,CalEnviroScreen 4.0 Top 25%
6037123420,48.21,85.75,85-90%,91.50,70.22,4408,Los Angeles,91606,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037601100,48.20,85.74,85-90%,57.37,96.04,6869,Los Angeles,90301,Inglewood,CalEnviroScreen 4.0 Top 25%
6067006201,48.19,85.73,85-90%,64.07,92.39,7359,Sacramento ,95821,Arden-Arcade,CalEnviroScreen 4.0 Top 25%
6019001411,48.19,85.72,85-90%,74.40,85.10,6926,Fresno ,93727,Fresno,CalEnviroScreen 4.0 Top 25%
6111004715,48.18,85.70,85-90%,94.00,66.28,5417,Ventura ,93033,Unincorporated Ventura County area,CalEnviroScreen 4.0 Top 25%
6037208801,48.15,85.69,85-90%,67.08,90.37,3027,Los Angeles,90057,Los Angeles,CalEnviroScreen 4.0 Top 25%
6067004701,48.15,85.68,85-90%,60.73,94.43,3318,Sacramento ,95823,Florin,CalEnviroScreen 4.0 Top 25%
6037133000,48.14,85.67,85-90%,74.44,84.98,4778,Los Angeles,91335,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037407702,48.11,85.65,85-90%,96.75,61.01,6744,Los Angeles,91744,La Puente,CalEnviroScreen 4.0 Top 25%
6019002905,48.10,85.64,85-90%,62.25,93.33,3046,Fresno ,93727,Unincorporated Fresno County area,CalEnviroScreen 4.0 Top 25%
6099003803,48.09,85.63,85-90%,79.74,80.85,3135,Stanislaus ,95380,Unincorporated Stanislaus County area,CalEnviroScreen 4.0 Top 25%
6037531603,48.08,85.62,85-90%,69.68,88.40,3409,Los Angeles,90022,East Los Angeles,CalEnviroScreen 4.0 Top 25%
6065040301,48.07,85.60,85-90%,77.39,82.79,8542,Riverside ,92509,Jurupa Valley,CalEnviroScreen 4.0 Top 25%
6037211202,48.06,85.59,85-90%,83.68,77.47,2239,Los Angeles,90004,Los Angeles,CalEnviroScreen 4.0 Top 25%
6107000301,48.05,85.58,85-90%,93.98,66.12,7486,Tulare ,93618,Unincorporated Tulare County area,CalEnviroScreen 4.0 Top 25%
6077005119,48.05,85.56,85-90%,97.91,57.75,8947,San Joaquin,95330,Lathrop,CalEnviroScreen 4.0 Top 25%
6071003803,48.05,85.55,85-90%,75.74,83.86,5531,San Bernardino,92376,Rialto,CalEnviroScreen 4.0 Top 25%
6037570602,48.05,85.54,85-90%,78.57,81.81,6177,Los Angeles,90805,Long Beach,CalEnviroScreen 4.0 Top 25%
6029004702,48.05,85.53,85-90%,70.98,87.27,3761,Kern ,93250,Unincorporated Kern County area,CalEnviroScreen 4.0 Top 25%
6037552100,48.04,85.51,85-90%,71.55,86.85,6624,Los Angeles,90650,Norwalk,CalEnviroScreen 4.0 Top 25%
6019004002,48.04,85.50,85-90%,84.00,77.26,7209,Fresno ,93630,Kerman,CalEnviroScreen 4.0 Top 25%
6037224420,48.02,85.49,85-90%,80.15,80.45,2637,Los Angeles,90007,Los Angeles,CalEnviroScreen 4.0 Top 25%
6099000304,48.02,85.48,85-90%,87.80,73.49,5329,Stanislaus ,95367,Riverbank,CalEnviroScreen 4.0 Top 25%
6071006402,48.02,85.46,85-90%,48.90,99.14,4813,San Bernardino,92410,Highland,CalEnviroScreen 4.0 Top 25%
6013311000,47.99,85.45,85-90%,71.40,86.86,5329,Contra Costa,94565,Pittsburg,CalEnviroScreen 4.0 Top 25%
6037301801,47.98,85.44,85-90%,93.53,66.65,5258,Los Angeles,91203,Glendale,CalEnviroScreen 4.0 Top 25%
6037293201,47.97,85.43,85-90%,86.37,74.86,6289,Los Angeles,90501,Los Angeles,CalEnviroScreen 4.0 Top 25%
6071000904,47.95,85.41,85-90%,82.66,78.37,3662,San Bernardino,91786,Upland,CalEnviroScreen 4.0 Top 25%
6019002903,47.94,85.40,85-90%,54.18,97.26,3791,Fresno ,93727,Fresno,CalEnviroScreen 4.0 Top 25%
6065044000,47.94,85.39,85-90%,74.10,84.71,1734,Riverside ,92223,Beaumont,CalEnviroScreen 4.0 Top 25%
6071009400,47.94,85.38,85-90%,46.38,99.52,3262,San Bernardino,92311,Barstow,CalEnviroScreen 4.0 Top 25%
6085503601,47.93,85.36,85-90%,84.12,76.94,3383,Santa Clara,95133,San Jose,CalEnviroScreen 4.0 Top 25%
6013368001,47.93,85.35,85-90%,70.11,87.78,4817,Contra Costa,94806,San Pablo,CalEnviroScreen 4.0 Top 25%
6037482301,47.88,85.34,85-90%,87.59,73.45,4941,Los Angeles,91776,San Gabriel,CalEnviroScreen 4.0 Top 25%
6037533503,47.87,85.33,85-90%,68.70,88.75,2141,Los Angeles,90255,Huntington Park,CalEnviroScreen 4.0 Top 25%
6037501803,47.87,85.31,85-90%,84.58,76.50,4427,Los Angeles,90602,Whittier,CalEnviroScreen 4.0 Top 25%
6037208620,47.86,85.30,85-90%,77.09,82.59,4446,Los Angeles,90057,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037192700,47.83,85.29,85-90%,96.34,61.66,3449,Los Angeles,90004,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037102105,47.82,85.27,85-90%,98.58,55.48,1905,Los Angeles,91505,Los Angeles,CalEnviroScreen 4.0 Top 25%
6099002602,47.81,85.26,85-90%,78.26,81.63,5703,Stanislaus ,95307,Ceres,CalEnviroScreen 4.0 Top 25%
6059087404,47.80,85.25,85-90%,85.30,75.59,3891,Orange ,92805,Anaheim,CalEnviroScreen 4.0 Top 25%
6047002100,47.79,85.24,85-90%,81.97,78.61,4246,Merced ,93635,Unincorporated Merced County area,CalEnviroScreen 4.0 Top 25%
6037571703,47.78,85.22,85-90%,59.66,94.44,3557,Los Angeles,90805,Long Beach,CalEnviroScreen 4.0 Top 25%
6025010600,47.78,85.21,85-90%,83.15,77.45,6910,Imperial ,92227,Brawley,CalEnviroScreen 4.0 Top 25%
6037127804,47.76,85.20,85-90%,60.40,93.96,4352,Los Angeles,91405,Los Angeles,CalEnviroScreen 4.0 Top 25%
6077001000,47.76,85.19,85-90%,76.43,82.85,5185,San Joaquin,95204,Country Club,CalEnviroScreen 4.0 Top 25%
6037294510,47.74,85.17,85-90%,61.23,93.37,5082,Los Angeles,90744,Los Angeles,CalEnviroScreen 4.0 Top 25%
6067006702,47.74,85.16,85-90%,57.14,95.55,7927,Sacramento ,95838,Sacramento,CalEnviroScreen 4.0 Top 25%
6065040502,47.73,85.15,85-90%,94.45,65.05,6650,Riverside ,92509,Jurupa Valley,CalEnviroScreen 4.0 Top 25%
6019006603,47.73,85.14,85-90%,75.42,83.50,2312,Fresno ,93654,Reedley,CalEnviroScreen 4.0 Top 25%
6029003113,47.68,85.12,85-90%,67.44,89.08,4993,Kern ,93304,Bakersfield,CalEnviroScreen 4.0 Top 25%
6037302002,47.67,85.11,85-90%,90.49,70.15,3949,Los Angeles,91206,Glendale,CalEnviroScreen 4.0 Top 25%
6037122120,47.67,85.10,85-90%,83.70,76.64,5011,Los Angeles,91352,Los Angeles,CalEnviroScreen 4.0 Top 25%
6073011601,47.66,85.09,85-90%,70.52,86.83,5470,San Diego,91950,National City,CalEnviroScreen 4.0 Top 25%
6037601002,47.66,85.07,85-90%,61.07,93.28,5167,Los Angeles,90301,Inglewood,CalEnviroScreen 4.0 Top 25%
6037570601,47.65,85.06,85-90%,62.44,92.54,5610,Los Angeles,90805,Long Beach,CalEnviroScreen 4.0 Top 25%
6099001603,47.65,85.05,85-90%,65.64,90.44,6451,Stanislaus ,95351,West Modesto,CalEnviroScreen 4.0 Top 25%
6065040402,47.62,85.04,85-90%,92.50,67.73,4373,Riverside ,92509,Jurupa Valley,CalEnviroScreen 4.0 Top 25%
6037208904,47.60,85.02,85-90%,80.96,79.10,3978,Los Angeles,90057,Los Angeles,CalEnviroScreen 4.0 Top 25%
6085501600,47.58,85.01,85-90%,77.80,81.48,7716,Santa Clara,95112,San Jose,CalEnviroScreen 4.0 Top 25%
6037551900,47.54,85.00,80-85%,89.92,70.49,5203,Los Angeles,90650,Norwalk,CalEnviroScreen 4.0 Top 25%
6037131010,47.53,84.98,80-85%,76.65,82.19,6686,Los Angeles,91335,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037405203,47.52,84.97,80-85%,86.25,74.19,3638,Los Angeles,91706,Baldwin Park,CalEnviroScreen 4.0 Top 25%
6029001201,47.52,84.96,80-85%,47.55,99.17,2936,Kern ,93305,East Bakersfield,CalEnviroScreen 4.0 Top 25%
6037701801,47.52,84.95,80-85%,95.67,62.32,7001,Los Angeles,90404,Santa Monica,CalEnviroScreen 4.0 Top 25%
6073011801,47.45,84.93,80-85%,77.65,81.35,4169,San Diego,91950,National City,CalEnviroScreen 4.0 Top 25%
6037533804,47.42,84.92,80-85%,70.70,86.30,4207,Los Angeles,90201,Bell,CalEnviroScreen 4.0 Top 25%
6073011602,47.42,84.91,80-85%,74.97,83.19,3900,San Diego,91950,National City,CalEnviroScreen 4.0 Top 25%
6107003902,47.40,84.90,80-85%,60.72,93.17,5549,Tulare ,93257,Unincorporated Tulare County area,CalEnviroScreen 4.0 Top 25%
6019001410,47.39,84.88,80-85%,84.42,75.58,12169,Fresno ,93725,Fresno,CalEnviroScreen 4.0 Top 25%
6081602100,47.38,84.87,80-85%,78.64,80.43,3700,San Mateo,94080,South San Francisco,CalEnviroScreen 4.0 Top 25%
6037534802,47.35,84.86,80-85%,52.98,97.16,3136,Los Angeles,90255,Walnut Park,CalEnviroScreen 4.0 Top 25%
6037222200,47.34,84.85,80-85%,62.96,91.58,4016,Los Angeles,90018,Los Angeles,CalEnviroScreen 4.0 Top 25%
